bug_id,"bug_severity","priority","op_sys","assigned_to","bug_status","resolution","short_desc"
1705,"enhancement","P5","All","tj","已分配 (ASSIGNED)","---","Add time-based conditional support to mod_ifsession"
2260,"enhancement","P5","All","proftp-committers","已分配 (ASSIGNED)","---","Add finer control to HideFiles"
2829,"enhancement","P5","Linux","tj","已分配 (ASSIGNED)","---","Ability to apply multiple different quota types (user, group, etc) to session"
2871,"normal","P3","All","proftp-committers","已分配 (ASSIGNED)","---","Remove ftpshut and the /etc/shutmsg file"
3235,"minor","P4","Linux","proftp-committers","新的 (NEW)","---","ProFTPD does not gracefully handle paths changed outside of the session process"
3308,"enhancement","P5","All","proftp-committers","再開啟 (REOPENED)","---","prxs should be able to handle modules which have their own configure scripts"
3340,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","add local DNSSEC validation"
3379,"enhancement","P5","All","tj","新的 (NEW)","---","Support configurable DNS resolution timeouts in mod_wrap2"
3455,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","Check FIFO log file descriptor for writability"
3532,"normal","P3","All","proftp-committers","新的 (NEW)","---","Low TransferRate leads to client timeouts"
3553,"enhancement","P5","All","proftp-committers","已分配 (ASSIGNED)","---","Ability to stop/start proftpd without killing existing connections"
3611,"minor","P4","All","tj","已分配 (ASSIGNED)","---","Problems using RewriteMap with a FIFO"
3708,"enhancement","P4","All","proftp-committers","新的 (NEW)","---","Support new command-line option for displaying host information"
3710,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","Support per-directory/file recipients for ftpmail notifications"
3725,"enhancement","P5","Linux","proftp-committers","已分配 (ASSIGNED)","---","Have build/release process properly set up spec file for cvs/rc/gold builds"
3786,"enhancement","P5","All","tj","已分配 (ASSIGNED)","---","TLSCryptoDevice integration with HSM"
3803,"enhancement","P5","Solaris","proftp-committers","新的 (NEW)","---","Function pw_getgroups() can be made to run faster."
3875,"enhancement","P2","Linux","proftp-committers","新的 (NEW)","---","Add support for NFSv4 (and POSIX) acls for CreateHome"
3928,"normal","P3","All","tj","已分配 (ASSIGNED)","---","mod_shaper calculates wrong (too big) delay time when resuming a file transfer"
3933,"normal","P2","Linux","tj","新的 (NEW)","---","CPU consumption, slow transfer with mod_sftp"
3980,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","New module to look up useraliases from berkdb & co."
3989,"enhancement","P5","All","tj","新的 (NEW)","---","mod_shaper should calculate its shares based only on current data transfers, rather than current connections"
4000,"major","P2","Linux","proftp-committers","新的 (NEW)","---","ftpasswd insecurely change passwd content"
4005,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","Allow customizable error messages for <Limit>ed users"
4040,"normal","P2","Linux","tj","新的 (NEW)","---","mod_ldap fails while searching Windows Active Directory from top level of domain"
4051,"enhancement","P5","All","tj","新的 (NEW)","---","mod_ifsession should evaluate/handle conditional Include directives"
4075,"enhancement","P5","All","tj","新的 (NEW)","---","Allow ExecBeforeCommand to fail a command if the script return value is non-zero"
4086,"enhancement","P3","All","tj","已分配 (ASSIGNED)","---","Add SNMP tables so per-instance stats can be tracked"
4092,"enhancement","P5","All","tj","新的 (NEW)","---","Support mod_sql policy for disconnecting from database after authentication"
4096,"enhancement","P5","All","tj","新的 (NEW)","---","Support for Kerberos/GSSAPI authentication in mod_sftp"
4103,"enhancement","P5","All","tj","新的 (NEW)","---","Support ldapcompare for group membership enumeration"
4113,"normal","P2","Linux","tj","再開啟 (REOPENED)","---","Broken filenames with filezilla"
4141,"normal","P3","All","tj","新的 (NEW)","---","SFTP directory listings don't show ""."" and "".."" in certain circumstances"
4146,"major","P2","All","tj","新的 (NEW)","---","Radius authentication fails with mod_sftp and FTP"
4162,"enhancement","P5","All","proftp-committers","新的 (NEW)","---","Support dtrace probes in proftpd"
4172,"enhancement","P2","All","tj","已分配 (ASSIGNED)","---","LDAP support for mod_wrap2"
4215,"enhancement","P5","All","tj","新的 (NEW)","---","Handle <IfUser> lines within <Directory> sections"
4246,"enhancement","P5","All","tj","新的 (NEW)","---","Support LDAP binds requiring GSSAPI credentials"
4266,"enhancement","P5","All","tj","已分配 (ASSIGNED)","---","Support disabling of SSH rekeying for certain clients"
4337,"normal","P3","Windows","proftp-committers","新的 (NEW)","---","On windows, proftpd saves ascii with LF instead of CRLF"
4344,"minor","P2","FreeBSD","proftp-committers","新的 (NEW)","---","Alter pr_syslog() to generate RFC 5424 based messages"
4349,"minor","P4","Linux","proftp-committers","新的 (NEW)","---","ftptop: information are not formatted in columns"
4355,"minor","P2","Linux","proftp-committers","新的 (NEW)","---","PersistentPasswd Off and libnss-mysql makes CMD LIST to hang"
4363,"blocker","P2","AIX","proftp-committers","新的 (NEW)","---","BUILD ERROR: ""mod_auth.c"", line 2530.45: 1506-226 (S) The "":"" operator is not allowed between ""char*"" and ""int""."
4369,"critical","P2","Linux","proftp-committers","新的 (NEW)","---","Access denied post patching of Redhat Linux server which is hosted proftpd configuration."
4391,"major","P2","Mac OS X","tj","新的 (NEW)","---","SFTP file upload to chrooted folder fails with ""permission denied"" due to mod_clamav"
4418,"minor","P3","All","proftp-committers","已分配 (ASSIGNED)","---","Subsequent upload to existing file fails when UserOwner is used"
4422,"critical","P2","Linux","tj","新的 (NEW)","---","Too many levels of symbolic links"
4423,"major","P2","Linux","proftp-committers","新的 (NEW)","---",".in. Files Not Cleaned Up Properly - HiddenStores"
4453,"critical","P2","Linux","proftp-committers","新的 (NEW)","---","ProFTPD terminating (signal 11)"
4454,"critical","P2","Linux","proftp-committers","新的 (NEW)","---","ProFTPD terminating (signal 11)"
4469,"minor","P4","All","tj","新的 (NEW)","---","Performance issues/questions using TLSv1.3 FTPS"
4476,"normal","P2","Linux","tj","新的 (NEW)","---","scp can't find files in subdirectory using ""*"""
4490,"normal","P2","Windows","proftp-committers","新的 (NEW)","---","forums.proftpd.org is broken"
4500,"normal","P2","Linux","proftp-committers","新的 (NEW)","---","Error uploading 256 files over one keepalive connection"
4502,"major","P2","Linux","tj","新的 (NEW)","---","SFTP Session terminated after approximately an hour when using curve25519-sha256 for key exchange"
4504,"major","P2","Linux","proftp-committers","新的 (NEW)","---","Idle Session present despite the parameter TimeoutIdle"
4505,"major","P2","All","proftp-committers","新的 (NEW)","---","scp not working anymore when upgrading to 1.3.7f"
4506,"major","P2","Linux","proftp-committers","新的 (NEW)","---","Directory List very slow"
4507,"normal","P2","AIX","proftp-committers","新的 (NEW)","---","Inconsistent timestamps in xfer.log"